Redding,ˈrɛdɪŋ,Red_*ˈrɛd:ding_ɪŋ
Hawthorne,ˈhɔːθɔrn,Haw_*ˈhɔː:thorne_θɔrn
Oxnard,ˈɑksnɑrd,Ox_*ˈɑks:nard_nɑrd
Santa+Ana,ˌsæntə+ˈænə,Santa_*ˌsæntə*:+_+:Ana_*ˈænə
Hollister,ˈhɑlɪstər,Hol_*ˈhɑl:li_ɪ:ster_stər
Antioch,ˈæntiˌɑk,Anti_*ˈænti:och_ˌɑk
Lompoc,ˈlɒmpoʊk,Lomp_*ˈlɒmp:oc_oʊk
Boron,ˈbɔrɑn,Bo_*ˈbɔ:ron_rɑn
Lake+Arrowhead,ˈleɪk+ˈæroʊˌhɛd,Lake_*ˈleɪk*:+_+:Arrow_*ˈæroʊ:head_ˌhɛd
Pittsburg,ˈpɪtsbɜːɹɡ,Pitts_*ˈpɪts:burg_bɜːɹɡ
Seaside,ˈsiːsaɪd,Seas_*ˈsiːs:ide_aɪd
Chino+Hills,ˈtʃaɪnoʊ+hɪlz,Chi_*ˈtʃaɪ:no_noʊ*:+_+:Hills_*hɪlz
Los+Angeles,ˌlɒs+ˈændʒələs,Los_*ˌlɒs*:+_+:Angeles_*ˈændʒələs
Dana+Point,ˈdeɪnə+pɔɪnt,Dana_*ˈdeɪnə*:+_+:Point_*pɔɪnt
Lodi,ˈloʊdaɪ,Lo_*ˈlo:di_ʊdaɪ
Oceanside,ˈoʊʃənˌsaɪd,Ocean_*ˈoʊʃən:side_ˌsaɪd
Chino,ˈtʃaɪno,Chi_*ˈtʃaɪ:no_no
Ferndale,ˈfɜːrndeɪl,Fern_*ˈfɜːrn:dale_deɪl
Redlands,ˈrɛdlænd,Red_*ˈrɛd:lands_lænd
Exeter,ˈɛksɪtər,Ex_*ˈɛks:eter_ɪtər
Palo+Alto,ˈpæloʊ+ˈæltoʊ,Palo_*ˈpæloʊ*:+_+:Alto_*ˈæltoʊ
Alameda,ˌæləˈmiːdə,Al_*ˌæl:ameda_əˈmiːdə
Livermore,ˈlɪvərmɔr,Liver_*ˈlɪvər:more_mɔr
Merced,ˈmɜːrsɛd,Mer_*ˈmɜːr:ced_sɛd
Lancaster,ˈlæŋkæstər,Lanc_*ˈlæŋk:aster_æstər
Folsom,ˈfoʊlsəm,Fols_*ˈfoʊls:om_əm
Albion,ˈælbiən,Al_*ˈæl:bion_biən
Fremont,ˈfriːmɒnt,Frem_*ˈfriːm:ont_ɒnt
