Aldershot,ˈɔːldərʃɒt,Ald_*ˈɔːld:er_ər:shot_ʃɒt
Dulverton,ˈdʌlvərtən,Dul_*ˈdʌl:ver_vər:ton_tən
Ilfracombe,ˈɪlfrəkuːm,Il_*ˈɪl:fra_frə:combe_kuːm
Hertford,ˈhɑːtfərd,Hert_*ˈhɑːt:ford_fərd
Wirksworth,ˈwɜːkswɜːθ,Wirk_*ˈwɜːk:sworth_swɜːθ
Pitsea,ˈpɪtsi,Pit_*ˈpɪt:sea_si
Loughborough,ˈlʌfbərə,Lough_*ˈlʌf:borough_bərə
Horncastle,ˈhɔːnkɑːsəl,Horn_*ˈhɔːn:castle_kɑːsəl
Chippenham,ˈtʃɪpənəm,Chip_*ˈtʃɪp:pen_ən:ham_əm
Billingham,ˈbɪlɪŋəm,Bil_*ˈbɪl:ling_ɪŋ:ham_əm
Saffron+Walden,ˈsæfrən+ˈwɔːldən,Saffron_*ˈsæfrən*:+_+:Walden_*ˈwɔːldən
Ringwood,ˈrɪŋwʊd,Ring_*ˈrɪŋ:wood_wʊd
Warwick,ˈwɒrɪk,War_*ˈwɒr:wick_ɪk
Kesgrave,ˈkɛsɡreɪv,Kes_*ˈkɛs:grave_ɡreɪv
Uckfield,ˈʌkfild,Uck_*ˈʌk:field_fild
Bottesford,ˈbɒtsfərd,Bottes_*ˈbɒts:ford_fərd
Kidsgrove,ˈkɪdzɡrəʊv,Kids_*ˈkɪdz:grove_ɡrəʊv
Bridport,ˈbrɪdpɔːt,Brid_*ˈbrɪd:port_pɔːt
Elland,ˈɛlənd,El_*ˈɛl:land_ənd
Thatcham,ˈθætʃəm,Thatch_*ˈθætʃ:am_əm
Farnborough,ˈfɑːnbərəʊ,Farn_*ˈfɑːn:borough_bərəʊ
Beverley,ˈbɛvərli,Bev_*ˈbɛv:er_ər:ley_li
Tunbridge+Wells,ˈtʌnbrɪdʒ+ˈwɛlz,Tun_*ˈtʌn:bridge_brɪdʒ*:+_+:Wells_*ˈwɛlz
Falmouth,ˈfælməθ,Fal_*ˈfæl:mouth_məθ
Loughton,ˈlaʊtən,Lough_*ˈlaʊ:ton_tən
Todmorden,ˈtɒdmədən,Tod_*ˈtɒd:mor_məd:den_ən
Harrogate,ˈhærəɡeɪt,Har_*ˈhær:ro_ə:gate_ɡeɪt
Chippenham,ˈtʃɪpənəm,Chip_*ˈtʃɪp:pen_ən:ham_əm
Uppingham,ˈʌpɪŋəm,Up_*ˈʌp:ping_ɪŋ:ham_əm
Measham,ˈmiːʃəm,Mea_*ˈmiː:sham_ʃəm
Ashford,ˈæʃfərd,Ash_*ˈæʃ:ford_fərd
Wadebridge,ˈweɪdbrɪdʒ,Wade_*ˈweɪd:bridge_brɪdʒ
Beccles,ˈbɛkəlz,Becc_*ˈbɛk:les_əlz
Hastings,ˈheɪstɪŋz,Hast_*ˈheɪst:ings_ɪŋz
Clitheroe,ˈklɪðərəʊ,Cli_*ˈklɪ:ther_ðər:oe_əʊ
Swanley,ˈswɔːnli,Swan_*ˈswɔːn:ley_li
Marlow,ˈmɑːrloʊ,Mar_*ˈmɑːr:low_loʊ
Eastleigh,ˈiːstliː,East_*ˈiːst:leigh_liː
Huntingdon,ˈhʌntɪŋdən,Hunt_*ˈhʌnt:ing_ɪŋ:don_dən
