愛別,aibetsu,"愛:ai,別:betsu"
赤井川,akaigawa,"赤:aka,井:i,川:gawa"
赤平,akabira,"赤:aka,平:bira"
旭川,asahikawa,"旭:asahi,川:kawa"
芦別,ashibetsu,"芦:ashi,別:betsu"
足寄,ashoro,"足:ash,寄:yoro"
厚岸,akkeshi,"厚:ak,岸:keshi"
厚沢部,assabu,"厚:as,沢:sa,部:bu"
厚真,atsuma,"厚:atsu,真:ma"
網走,abashiri,"網:a,走:bashiri"
安平,abira,"安:a,平:bira"
池田,ikeda,"池:ike,田:da"
石狩,ishikari,"石:ishi,狩:kari"
今金,imakane,"今:ima,金:kane"
岩内,iwanai,"岩:iwa,内:nai"
岩見沢,iwamizawa,"岩:iwa,見:mi,沢:zawa"
歌志内,utashinai,"歌:uta,志:shi,内:nai"
浦臼,urausu,"浦:ura,臼:usu"
浦河,urakawa,"浦:ura,河:kawa"
浦幌,urahoro,"浦:ura,幌:horo"
雨竜,uryuu,"雨:u,竜:ryuu"
江差,esashi,"江:e,差:sashi"
枝幸,esashi,"枝:e,幸:sashi"
恵庭,eniwa,"恵:e,庭:niwa"
江別,ebetsu,"江:e,別:betsu"
遠軽,engaru,"遠:en,軽:garu"
遠別,enbetsu,"遠:en,別:betsu"
雄武,oumu,"雄:ou,武:mu"
大空,oozora,"大:oo,空:zora"
奥尻,okushiri,"奥:oku,尻:shiri"
置戸,oketo,"置:oke,戸:to"
興部,okoppe,"興:okop,部:pe"
長万部,oshamanbe,"長:osha,万:man,部:be"
小樽,otaru,"小:o,樽:taru"
音威子府,otoineppu,"音:oto,威:i,子:nep,府:pu"
音更,otofuke,"音:oto,更:fuke"
乙部,otobe,"乙:oto,部:be"
帯広,obihiro,"帯:obi,広:hiro"
小平,obira,"小:o,平:bira"
上川,kamikawa,"上:kami,川:kawa"
上士幌,kamishihoro,"上:kami,士:shi,幌:horo"
上砂川,kamisunagawa,"上:kami,砂:suna,川:gawa"
上ノ国,kaminokuni,"上:kami,ノ:no,国:kuni"
上富良野,kamifurano,"上:kami,富:fu,良:ra,野:no"
神恵内,kamoenai,"神:kamo,恵:e,内:nai"
木古内,kikonai,"木:ki,古:ko,内:nai"
北広島,kitahiroshima,"北:kita,広:hiro,島:shima"
北見,kitami,"北:kita,見:mi"
喜茂別,kimobetsu,"喜:ki,茂:mo,別:betsu"
共和,kyouwa,"共:kyou,和:wa"
清里,kiyosato,"清:kiyo,里:sato"
釧路,kushiro,"釧:kushi,路:ro"
釧路,kushiro,"釧:kushi,路:ro"
倶知安,kutchan,"倶:kut,知:ch,安:an"
栗山,kuriyama,"栗:kuri,山:yama"
黒松内,kuromatsunai,"黒:kuro,松:matsu,内:nai"
訓子府,kunneppu,"訓:kun,子:nep,府:pu"
剣淵,kenbuchi,"剣:ken,淵:buchi"
小清水,koshimizu,"小:ko,清:shi,水:mizu"
札幌,sapporo,"札:sap,幌:poro"
更別,sarabetsu,"更:sara,別:betsu"
様似,samani,"様:sama,似:ni"
猿払,sarufutsu,"猿:saru,払:futsu"
佐呂間,saroma,"佐:sa,呂:ro,間:ma"
鹿追,shikaoi,"鹿:shika,追:oi"
鹿部,shikabe,"鹿:shika,部:be"
標茶,shibecha,"標:shibe,茶:cha"
士別,shibetsu,"士:shi,別:betsu"
標津,shibetsu,"標:shibe,津:tsu"
士幌,shihoro,"士:shi,幌:horo"
島牧,shimamaki,"島:shima,牧:maki"
占冠,shimukappu,"占:shimu,冠:kappu"
下川,shimokawa,"下:shimo,川:kawa"
積丹,shakotan,"積:shako,丹:tan"
斜里,shari,"斜:sha,里:ri"
初山別,shosanbetsu,"初:sho,山:san,別:betsu"
白老,shiraoi,"白:shira,老:oi"
白糠,shiranuka,"白:shira,糠:nuka"
知内,shiriuchi,"知:shiri,内:uchi"
新篠津,shinshinotsu,"新:shin,篠:shino,津:tsu"
新得,shintoku,"新:shin,得:toku"
新十津川,shintotsukawa,"新:shin,十:to,津:tsu,川:kawa"
寿都,suttu,"寿:sut,都:tu"
砂川,sunagawa,"砂:suna,川:gawa"
壮瞥,soubetsu,"壮:sou,瞥:betsu"
大樹,taiki,"大:tai,樹:ki"
鷹栖,takasu,"鷹:taka,栖:su"
滝川,takikawa,"滝:taki,川:kawa"
滝上,takinoue,"滝:takino,上:ue"
秩父別,chippubetsu,"秩:chip,父:pu,別:betsu"
月形,tsukigata,"月:tsuki,形:gata"
津別,tsubetsu,"津:tsu,別:betsu"
鶴居,tsurui,"鶴:tsuru,居:i"
天塩,teshio,"天:te,塩:shio"
弟子屈,teshikaga,"弟:te,子:shi,屈:kaga"
当別,toubetsu,"当:tou,別:betsu"
当麻,touma,"当:tou,麻:ma"
洞爺湖,touyako,"洞:tou,爺:ya,湖:ko"
苫小牧,tomakomai,"苫:toma,小:ko,牧:mai"
苫前,tomamae,"苫:toma,前:mae"
豊浦,toyoura,"豊:toyo,浦:ura"
豊頃,toyokoro,"豊:toyo,頃:koro"
豊富,toyotomi,"豊:toyo,富:tomi"
奈井江,naie,"奈:na,井:i,江:e"
中川,nakagawa,"中:naka,川:gawa"
中札内,nakasatsunai,"中:naka,札:satsu,内:nai"
中標津,nakashibetsu,"中:naka,標:shibe,津:tsu"
中頓別,nakatonbetsu,"中:naka,頓:ton,別:betsu"
長沼,naganuma,"長:naga,沼:numa"
中富良野,nakafurano,"中:naka,富:fu,良:ra,野:no"
七飯,nanae,"七:nana,飯:e"
名寄,nayoro,"名:na,寄:yoro"
南幌,nanporo,"南:nan,幌:poro"
新冠,niikappu,"新:nii,冠:kappu"
仁木,niki,"仁:ni,木:ki"
西興部,nishiokoppe,"西:nishi,興:okop,部:pe"
沼田,numata,"沼:numa,田:ta"
根室,nemuro,"根:ne,室:muro"
登別,noboribetsu,"登:nobori,別:betsu"
函館,hakodate,"函:hako,館:date"
羽幌,haboro,"羽:ha,幌:boro"
浜頓別,hamatonbetsu,"浜:hama,頓:ton,別:betsu"
浜中,hamanaka,"浜:hama,中:naka"
美瑛,biei,"美:bi,瑛:ei"
東川,higashikawa,"東:higashi,川:kawa"
日高,hidaka,"日:hi,高:daka"
比布,pippu,"比:pip,布:pu"
美唄,bibai,"美:bi,唄:bai"
美深,bihuka,"美:bi,深:huka"
美幌,bihoro,"美:bi,幌:horo"
平取,biratori,"平:bira,取:tori"
広尾,hiroo,"広:hiro,尾:o"
深川,fukagawa,"深:fuka,川:gawa"
福島,fukushima,"福:fuku,島:shima"
富良野,furano,"富:fu,良:ra,野:no"
古平,furubira,"古:furu,平:bira"
別海,betsukai,"別:betsu,海:kai"
北斗,hokuto,"北:hoku,斗:to"
北竜,hokuryu,"北:hoku,竜:ryu"
幌加内,horokanai,"幌:horo,加:ka,内:nai"
幌延,horonobe,"幌:horo,延:nobe"
本別,honbetsu,"本:hon,別:betsu"
幕別,makubetsu,"幕:maku,別:betsu"
増毛,mashike,"増:mashi,毛:ke"
真狩,makkari,"真:mak,狩:kari"
松前,matsumae,"松:matsu,前:mae"
三笠,mikasa,"三:mi,笠:kasa"
南富良野,minamifurano,"南:minami,富:fu,良:ra,野:no"
室蘭,muroran,"室:muro,蘭:ran"
芽室,memuro,"芽:me,室:muro"
妹背牛,moseushi,"妹:mo,背:se,牛:ushi"
紋別,monbetsu,"紋:mon,別:betsu"
八雲,yakumo,"八:ya,雲:kumo"
夕張,yuubari,"夕:yuu,張:bari"
湧別,yuubetsu,"湧:yuu,別:betsu"
由仁,yuni,"由:yu,仁:ni"
余市,yoichi,"余:yo,市:ichi"
羅臼,rausu,"羅:ra,臼:usu"
蘭越,rankoshi,"蘭:ran,越:koshi"
陸別,rikubetsu,"陸:riku,別:betsu"
利尻,rishiri,"利:ri,尻:shiri"
利尻富士,rishirifuji,"利:ri,尻:shiri,富:fu,士:ji"
留寿都,rusutsu,"留:ru,寿:su,都:tsu"
留萌,rumoi,"留:ru,萌:moi"
礼文,rebun,"礼:re,文:bun"
稚内,wakkanai,"稚:wakka,内:nai"
和寒,wassamu,"和:was,寒:samu"
