Eastham,ˈiːstəm,East_*ˈiːst:ham_əm
Alfred,ˈælfrɛd,Al_*ˈæl:fred_frɛd
Fairfield,ˈfɛrˌfild,Fair_*ˈfɛr:field_ˌfild
Rochester,ˈrɒtʃɪstər,Roch_*ˈrɒtʃ:es_ɪ:ter_stər
Cambridge,ˈkeɪmbrɪdʒ,Cam_*ˈkeɪm:bridge_brɪdʒ
Mount+Vernon,ˈmaʊnt+vɜːrnən,Mount_*ˈmaʊnt*:+_+:Vernon_*vɜːrnən
Albany,ˈɔːlbəni,Alb_*ˈɔːlb:any_əni
Montrose,ˈmɒntrəʊz,Mont_*ˈmɒnt:rose_rəʊz
Lancaster,ˈlæŋkəstər,Lanc_*ˈlæŋk:aster_əstər
Orchard+Park,ˈɔːrtʃərd+pɑːrk,Orchard_*ˈɔːrtʃərd*:+_+:Park_*pɑːrk
Philmont,ˈfɪlmɒnt,Phil_*ˈfɪl:mont_mɒnt
Richmond,ˈrɪtʃmənd,Rich_*ˈrɪtʃ:mond_mənd
Red+Bank,ˈrɛd+bæŋk,Red_*ˈrɛd*:+_+:Bank_*bæŋk
Williamstown,ˈwɪljəmztaʊn,William_*ˈwɪljəm:s_z:town_taʊn
Crownpoint,ˈkraʊnˌpɔɪnt,Crown_*ˈkraʊn:point_ˌpɔɪnt
Clinton,ˈklɪntən,Clin_*ˈklɪn:ton_tən
Paris,ˈpærɪs,Par_*ˈpær:is_ɪs
Euclid,ˈjuːklɪd,Eu_*ˈjuː:clid_klɪd
Beverly,ˈbɛvərli,Bev_*ˈbɛv:er_ər:ly_li
Derby,ˈdɜrbi,Der_*ˈdɜr:by_bi
Brockton,ˈbrɒktən,Brock_*ˈbrɒk:ton_tən
West+Warwick,ˈwɛst+ˈwɔrɪk,West_*ˈwɛst*:+_+:War_*ˈwɔr:wick_ɪk
Brentwood,ˈbrɛntwʊd,Brent_*ˈbrɛnt:wood_wʊd
Hornell,ˈhɔːrnɛl,Horn_*ˈhɔːrn:ell_ɛl
Huntingtown,ˈhʌntɪŋtaʊn,Hunt_*ˈhʌnt:ing_ɪŋ:town_taʊn
Scranton,ˈskræntən,Scran_*ˈskræn:ton_tən
Bridgeport,ˈbrɪdʒˌpɔrt,Bridge_*ˈbrɪdʒ:port_ˌpɔrt
Springdale,ˈsprɪŋˌdeɪl,Spring_*ˈsprɪŋ:dale_ˌdeɪl
Camden,ˈkæmdən,Cam_*ˈkæm:den_dən
Quincy,ˈkwɪnzi,Quin_*ˈkwɪn:cy_zi
Glastonbury,ˈɡlæstənbɛri,Glas_*ˈɡlæs:ton_tən:bury_bɛri
Wellesley,ˈwɛlzli,Welles_*ˈwɛlz:ley_li
Potsdam,ˈpɒtsdæm,Pots_*ˈpɒts:dam_dæm
Binghamton,ˈbɪŋəmˌtən,Bing_*ˈbɪŋ:ham_əm:ton_ˌtən
Waltham,ˈwɔːlθəm,Wal_*ˈwɔːl:tham_θəm
Kittery,ˈkɪtəri,Kit_*ˈkɪt:tery_əri
Seaford,ˈsiːfərd,Sea_*ˈsiː:ford_fərd
Hickory,ˈhɪkəri,Hick_*ˈhɪk:ory_əri
Elkins,ˈɛlkɪnz,El_*ˈɛl:kins_kɪnz
Nutley,ˈnʌtli,Nut_*ˈnʌt:ley_li
East+Rochester,ˈiːst+ˈrɒtʃɪstər,East_*ˈiːst*:+_+:Roch_*ˈrɒtʃ:es_ɪ:ter_stər
Bristol,ˈbrɪstəl,Bris_*ˈbrɪs:tol_təl
Harrisonburg,ˈhærɪsənbɜːrɡ,Har_*ˈhær:rison_ɪsən:burg_bɜːrɡ
Washington,ˈwɒʃɪŋtən,Wash_*ˈwɒʃ:ing_ɪŋ:ton_tən
Endicott,ˈɛndɪkɒt,End_*ˈɛnd:i_ɪ:cott_kɒt
Hamburg,ˈhæmbɜːɡ,Ham_*ˈhæm:burg_bɜːɡ
Tonawanda,ˌtoʊnəˈwændə,Ton_*ˌtoʊn:aw_ə:anda_ˈwændə
Wakefield,ˈweɪkfiːld,Wake_*ˈweɪk:field_fiːld
Harrison,ˈhærɪsən,Harr_*ˈhær:i_ɪ:son_sən
Yonkers,ˈjɔŋkərz,Yon_*ˈjɔŋ:kers_kərz
Huntington,ˈhʌntɪŋtən,Hunt_*ˈhʌnt:ing_ɪŋ:ton_tən
Beaumont,ˈboʊmɒnt,Beau_*ˈboʊ:mont_mɒnt
Yazoo+City,ˈjæzu+ˈsɪti,Yazoo_*ˈjæzu*:+_+:City_*ˈsɪti
Deerfield+Beach,ˈdɪərfiːld+biːtʃ,Deer_*ˈdɪər:field_fiːld*:+_+:Beach_*biːtʃ
Haverhill,ˈheɪvərˌhɪl,Haver_*ˈheɪvər:hill_ˌhɪl
Hempfield,ˈhɛmpfiːld,Hemp_*ˈhɛmp:field_fiːld
Redmond,ˈrɛdmənd,Red_*ˈrɛd:mond_mənd
Lewiston,ˈluːɪstən,Lew_*ˈluː:iston_ɪstən
Hempstead,ˈhɛmpstɛd,Hemp_*ˈhɛmp:stead_stɛd
Kentwood,ˈkɛntwʊd,Kent_*ˈkɛnt:wood_wʊd
Fairmont,ˈfeərmɒnt,Fair_*ˈfeər:mont_mɒnt
Jonesboro,ˈdʒoʊnzbɜːroʊ,Jones_*ˈdʒoʊnz:boro_bɜːroʊ
Madison,ˈmædɪsən,Mad_*ˈmæd:ison_ɪsən
Thurmont,ˈθɜrmɒnt,Thur_*ˈθɜr:mont_mɒnt
Watertown,ˈwɔːtərˌtaʊn,Water_*ˈwɔːtər:town_ˌtaʊn
Athens,ˈeɪ.θənz,Ath_*ˈeɪ.θ:ens_ənz
Glasgow,ˈɡlæzɡoʊ,Glas_*ˈɡlæz:gow_ɡoʊ
Warwick,ˈwɒrɪk,War_*ˈwɒr:wick_ɪk
Woodbridge,ˈwʊdbrɪdʒ,Wood_*ˈwʊd:bridge_brɪdʒ
Fulton,ˈfʊltən,Ful_*ˈfʊl:ton_tən
Roxbury,ˈrɑksbɛri,Rox_*ˈrɑks:bury_bɛri
Chevy+Chase,ˈʃɛvi+tʃeɪs,Chevy_*ˈʃɛvi*:+_+:Chase_*tʃeɪs
Bayside,ˈbeɪsaɪd,Bay_*ˈbeɪ:side_saɪd
Cedar+Hill,ˈsiːdər+hɪl,Cedar_*ˈsiːdər*:+_+:Hill_*hɪl
Chapel+Hill,ˈtʃæpəl+hɪl,Chapel_*ˈtʃæpəl*:+_+:Hill_*hɪl
Ocean+City,ˈoʊʃən+ˈsɪti,Ocean_*ˈoʊʃən*:+_+:City_*ˈsɪti
Westerly,ˈwɛstərli,West_*ˈwɛst:erly_ərli
Alden,ˈɔːldən,Ald_*ˈɔːld:en_ən
Ridgeland,ˈrɪdʒlænd,Ridge_*ˈrɪdʒ:land_lænd
Chatham,ˈtʃætəm,Chat_*ˈtʃæt:ham_əm
Arlington,ˈɑrlɪŋtən,Arl_*ˈɑrl:ing_ɪŋ:ton_tən
Elmsford,ˈɛlmzˌfɜrd,Elm_*ˈɛlm:s_z:ford_ˌfɜrd
Portland,ˈpɔrtlənd,Port_*ˈpɔrt:land_lənd
Jamestown,ˈdʒeɪmztaʊn,James_*ˈdʒeɪmz:town_taʊn
Hopewell,ˈhoʊpwɛl,Hope_*ˈhoʊp:well_wɛl
Clayton,ˈkleɪtən,Clay_*ˈkleɪ:ton_tən
Trenton,ˈtrɛntən,Trent_*ˈtrɛnt:on_ən
Utica,ˈjuːtɪkə,Ut_*ˈjuːt:i_ɪ:ca_kə
Lyons,ˈlaɪənz,Ly_*ˈlaɪ:ons_ənz
